imdbID,Title,Note
tt6467968,Posoki,* 2018-05-10 | Directions - Geschichten einer Nacht
tt6791096,I feel pretty,2018-05-10
tt5104604,Isle of Dogs,2018-05-10 | Isle of Dogs - Ataris Reise
tt5368108,Liliane Susewind,2018-05-10 | Liliane Susewind - Ein tierisches Abenteuer
tt5356260,Ma vie avec James Dean / My life with James Dean,2018-05-10 | Mein Leben mit James Dean
tt2231461,Rampage (3D),2018-05-10 | Rampage - Big meets Bigger
tt5997666,"Reise für die Liebe, Eine",2018-05-10
tt8477928,Rudi Assauer - Macher. Mensch. Legende.,2018-05-10
tt8339444,System Error,* 2018-05-10
tt7213936,Hva vil folk si,2018-05-10 | Was werden die Leute sagen
tt6911608,Mamma mia! Sing-a-long Version,* 2018-05-13 | Mamma mia! Sing-along Version
tt6324614,Sobibor,2018-05-13
tt7689936,"Cleaners, The",2018-05-17
tt5463162,Deadpool 2,2018-05-17
tt7323600,Hagazussa - A Heathen's Curse,2018-05-17 | Hagazussa - Der Hexenfluch
tt7364566,Maria by Callas,2018-05-17
tt5893264,Based on a true Story - D'après une histoire vraie,2018-05-17 | Nach einer wahren Geschichte
tt7262496,Namrud,* 2018-05-17
tt7673104,Schatzkammer Berlin,2018-05-17
tt4746254,"Tochter, Die",* 2018-05-17
tt4926822,We are Family/C'est quoi cette famille?!,2018-05-17 | Wohne lieber ungewöhnlich
tt3431188,Knutsen & Ludvigsen og den fæle Rasputin,2018-05-17 | Zwei Freunde und ihr Dachs
tt7050476,Smeschariki - Dezha vyu,2018-05-20
tt6865478,Der letzte Dalai Lama?,2018-05-24
tt5078134,Une Vie,2018-05-24 | Ein Leben
tt5698320,Euphoria,* 2018-05-24
tt2404639,"Happy Prince, The",2018-05-24
tt6263618,In den Gängen,2018-05-24
tt3778644,Solo: A Star Wars Story,2018-05-24 | Solo: A Star Wars Story (2D/3D)
tt8269466,Sympathisanten,2018-05-24
tt7085762,Taste of Cement - Der Geschmack von Zement,2018-05-24
tt7639860,Wunder der Wirklichkeit,2018-05-24
tt5598102,"Visages, Villages",2018-05-31 | Augenblicke: Gesichter einer Reise
tt5339226,Back for Good,2018-05-31
tt5478478,Hostiles,2018-05-31 | Feinde - Hostiles
tt7214084,Guardians of the Earth,2018-05-31
tt6692354,Ittefaq - Es geschah eines Nachts,2018-05-31
tt5135100,Kinders,2018-05-31
tt7026672,Letztendlich sind wir dem Universum egal,2018-05-31
tt7765120,Figlia Mia,2018-05-31 | Meine Tochter - Figlia Mia
tt4538916,Finding your Feet,2018-05-31 | Tanz ins Leben
tt5610554,Tully,2018-05-31
